2019-01-01,0
2019-01-02,45319200
2019-01-03,74174000
2019-01-04,78514000
2019-01-07,53624800
2019-01-08,80073200
2019-01-09,104903400
2019-01-10,130603200
2019-01-11,88899400
2019-01-14,71320000
2019-01-15,86697200
2019-01-16,78625600
2019-01-17,101961200
2019-01-18,56790000
2019-01-21,111624400
2019-01-22,123558000
2019-01-23,162196000
2019-01-24,179821400
2019-01-25,143184800
2019-01-28,207013400
2019-01-29,162587800
2019-01-30,175565200
2019-01-31,214008600
2019-02-01,104295400
2019-02-04,80919200
2019-02-05,0
2019-02-06,60281400
2019-02-07,31622800
2019-02-08,46828400
2019-02-11,72358200
2019-02-12,82644200
2019-02-13,75046400
2019-02-14,95699000
2019-02-15,92002800
2019-02-18,86216800
2019-02-19,92714200
2019-02-20,192881200
2019-02-21,100203800
2019-02-22,167596800
2019-02-25,91520000
2019-02-26,94091000
2019-02-27,72356800
2019-02-28,84980200
2019-03-01,47003200
2019-03-04,29659800
2019-03-05,223113200
2019-03-06,94977600
2019-03-07,0
2019-03-08,71523400
2019-03-11,53912400
2019-03-12,60509600
2019-03-13,55730600
2019-03-14,44212200
2019-03-15,71744400
2019-03-18,52140200
2019-03-19,158696000
2019-03-20,51652800
2019-03-21,68829800
2019-03-22,45259400
2019-03-25,45751600
2019-03-26,28799400
2019-03-27,38906600
2019-03-28,47868600
2019-03-29,71140200
2019-04-01,57890600
2019-04-02,36872800
2019-04-03,0
2019-04-04,119083400
2019-04-05,40534200
2019-04-08,45862600
2019-04-09,61437800
2019-04-10,30552600
2019-04-11,70389000
2019-04-12,53372400
2019-04-15,48251000
2019-04-16,143066800
2019-04-17,0
2019-04-18,243343400
2019-04-19,0
2019-04-22,69981800
2019-04-23,65384600
2019-04-24,55408400
2019-04-25,111185200
2019-04-26,150697400
2019-04-29,112773000
2019-04-30,103243000
2019-05-01,0
2019-05-02,68943800
2019-05-03,60141600
2019-05-06,100956600
2019-05-07,68861800
2019-05-08,79916800
2019-05-09,90947000
2019-05-10,65009400
2019-05-13,83342800
2019-05-14,85983800
2019-05-15,112972400
2019-05-16,86481000
2019-05-17,59716600
2019-05-20,93447200
2019-05-21,128877200
2019-05-22,88253000
2019-05-23,65668800
2019-05-24,99151200
2019-05-27,144611000
2019-05-28,298780800
2019-05-29,89397400
2019-05-30,0
2019-05-31,173453000
2019-06-03,0
2019-06-04,0
2019-06-05,0
2019-06-06,0
2019-06-07,0
